Model Number,Fan Size,Airflow (CFM),Noise (dBA),Temp Control,Variable Speed,Fan Speed,Current Draw (A amps),Power Consumption (W Watts),Power Supply,Power Supply Plug Type
HK640B,1U,31.2,20,,,4000,1.5,4.5,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12VDC - 2A,
SL440B,1U,41.6,38,,,8000,1,3,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12VDC - 2A,
SL480B,2U,86.8,26,,,1800,0.64,7.68,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12VDC - 2A,
SL480G,2U,86.8,26,,,1800,0.64,7.68,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12VDC - 2A,
SL480P,2U,86.8,26,,,1800,0.64,7.68,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12VDC - 2A,
SL480R,2U,86.8,26,,,1800,0.64,7.68,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12VDC - 2A,
SL640B,1U,62.4,39.7,,,8000,1.5,4.5,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12VDC - 2A,
SP280XT,2U,28-64,17-Sep,✓,✓,1200-2400,0.34,4.08,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 2.5 in.,,,,,,,,12VDC/5VDC - 2A,
SP480TV,2U,212,45,✓,,4200,1.92,5.76,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 2.5 in.,,,,,,,,12VDC/5VDC - 2A,
SP480X,2U,128,20,✓,,1600,0.36,4.32,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 2.5 in.,,,,,,,,12VDC/5VDC - 2A,
SP480XT,2U,56-128,20-Dec,✓,✓,1200-2400,0.68,8.16,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 2.5 in.,,,,,,,,12VDC/5VDC - 2A,
SP640TV,1U,42.6,33.7,✓,,6000,0.36,4.32,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 2.5 in.,,,,,,,,12VDC/5VDC - 2A,
SP640X,1U,36,21.7,✓,,3200,0.18,2.16,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 2.5 in.,,,,,,,,12VDC/5VDC - 2A,
SX2240,1U,24,20,,,3200,0.12,1.44,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX2280,2U,128,20,,,1600,0.36,4.32,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX280,2U,64,17,,,1600,0.18,2.16,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX340,1U,18,18.8,,,3200,0.09,0.36,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX380,2U,96,18.8,,,1600,0.27,3.24,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX440,1U,24,20,,,3200,0.12,1.44,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX480,2U,128,20,,,1600,0.36,4.32,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SX640,1U,36,21.8,,,3200,0.18,2.16,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
SXT2280,2U,56-128,20-Dec,✓,✓,1200-2400,0.68,8.16,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SXT280,2U,28-64,17-Sep,✓,✓,1200-2400,0.34,4.08,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SXT380,2U,42-96,10.8-18.8,✓,✓,1200-2400,0.51,6.12,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
SXT480,2U,56-128,20-Dec,✓,✓,1200-2400,0.68,8.16,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 1A,
T2280,2U,336.4,61.2,,,5700,3.04,36.4,100-240 VAC,NEMA 5-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 6A,
T280,2U,168.2,58.2,,,5700,1.52,18.2,100-240 VAC,NEMA 5-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 6A,
T380,2U,252.3,59.9,,,5700,2.28,27.3,100-240 VAC,NEMA 5-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 6A,
T480,2U,336.4,61.2,,,5700,3.04,36.4,100-240 VAC,NEMA 5-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 6A,
TV2240,1U,28,32,,,6000,0.24,2.88,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
TV2280,2U,212,45,,,4200,1.92,23.04,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 2A,
TV280,2U,106,42,,,4200,0.96,11.52,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 2A,
TV340,1U,21.3,30.8,,,6000,0.18,2.16,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
TV380,2U,159,44,,,4200,1.44,17.28,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 2A,
TV440,1U,28,32,,,6000,0.24,2.88,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
TV480,2U,212,45,,,4200,1.92,23.04,100-240 VAC,NEMA 1-15P
,19 x 3.5 x 1.5 in.,,,,,,,,12 VDC - 2A,
TV640,1U,42.6,33.8,,,6000,0.36,4.32,100-240 VAC,NEMA 1-15P
,19 x 1.75 x 1.5 in.,,,,,,,,12 VDC - 1A,
